slang	formal
hari ini gua mau bobok dengan kamu	hari ini saya mau tidur dengan kamu
gua ingin bobok di rumah saja	saya ingin tidur di rumah saja
kmrn gw belajar bersama sobat	kemarin saya belajar bersama teman
gue sdh jalan dan ingin istirahat	saya sudah pergi dan ingin istirahat
gw akan bobok jika kamu mau	saya akan tidur jika kamu mau
bsk gua akan ngobrol ke rumah	besok saya akan ngobrol ke rumah
gua gk minum karena sakit	saya tidak minum karena sakit
gw akan kerja jika lu mo	saya akan kerja jika kamu mau
bsk gua akan mkn ke kafe	besok saya akan makan ke kafe
gua akan makan jika lo mo	saya akan makan jika kamu mau
gue akan makan jika lu mau	saya akan makan jika kamu mau
ntar gw mnm setelah makan	nanti saya minum setelah makan
gua lg mkn di kafe	saya sedang makan di kafe
gua ga minum karena sakit	saya tidak minum karena sakit
gue blm belajar tugas dari sekolah	saya belum belajar tugas dari sekolah
kmrn gw bljr bersama tmn	kemarin saya belajar bersama teman
bsk gw akan makan ke kampus	besok saya akan makan ke kampus
gua akan kerja jika lu mo	saya akan kerja jika kamu mau
gw lagi bljr di kafe	saya sedang belajar di kafe
kmren gue ngbrl bersama sobat	kemarin saya ngobrol bersama teman
gua akan jln jika kamu mo	saya akan pergi jika kamu mau
gw ingin ngobrol di rumah saja	saya ingin ngobrol di rumah saja
gua blm bljr tugas dari sekolah	saya belum belajar tugas dari sekolah
gua udah maen dan ingin istirahat	saya sudah main dan ingin istirahat
gw blm bobok tugas dari sekolah	saya belum tidur tugas dari sekolah
gue sdh main dan ingin istirahat	saya sudah main dan ingin istirahat
hari ini gua mau maen dengan lu	hari ini saya mau main dengan kamu
gua sdh ngobrol dan ingin istirahat	saya sudah ngobrol dan ingin istirahat
besok gua akan makan ke sekolah	besok saya akan makan ke sekolah
kmren gw ngobrol bersama tmn	kemarin saya ngobrol bersama teman
ntr gua bljr setelah makan	nanti saya belajar setelah makan
ntr gw main setelah makan	nanti saya main setelah makan
gua ga tdr karena sakit	saya tidak tidur karena sakit
besok gua akan minum ke rumah	besok saya akan minum ke rumah
